Period,UF,Sum,Count
202202,RN,106132475.87,87568
202202,RS,247857000.50,204503
202202,RO,53459944.26,44109
202202,RR,16521998.00,13632
202202,SC,95938824.01,79157
202202,SP,935688358.82,772020
202202,SE,78383625.69,64673
202202,TO,48197325.84,39767
202202,Others,0.00,0
202202,Total,5734747249.30,4731633
202201,AC,30848567.67,25451
202201,AL,136238688.61,112408
202201,AP,32657390.91,26945
202201,AM,129787243.46,107085
202201,BA,554930353.67,457863
202201,CE,349846570.11,288652
202201,DF,66117497.04,54551
202201,ES,91668471.50,75634
202201,GO,191201534.97,157757
202201,MA,215113078.70,177486
202201,MT,101642071.43,83863
202201,MS,103272078.29,85208
202201,MG,564205652.44,465516
202201,PA,271018285.14,223612
202201,PB,147495042.91,121695
202201,PR,261978212.13,216154
202201,PE,381360914.40,314654
202201,PI,95990652.61,79200
202201,RJ,433108341.33,357349
202201,RN,106345792.39,87744
202201,RS,248412099.35,204961
202201,RO,53562964.26,44194
202201,RR,16532905.44,13641
202201,SC,95874591.42,79104
202201,SP,935812010.34,772122
202201,SE,78428471.12,64710
202201,TO,48260350.27,39819
202201,Others,3636.00,3
202201,Total,5741713467.91,4737381
202412,AC,47711955.97,33789
202412,AL,187467427.48,132762
202412,AP,51625005.20,36560
202412,AM,209488291.91,148357
202412,BA,822128368.04,582226
202412,CE,558105571.38,395243
202412,DF,107346503.61,76020
202412,ES,151107174.38,107012
202412,GO,300082733.61,212517
202412,MA,298814674.17,211618
202412,MT,158708981.18,112397
202412,MS,161165007.64,114136
202412,MG,832079475.79,589274
202412,PA,430267066.90,304710
202412,PB,228661462.92,161934
202412,PR,384301403.54,272161
202412,PE,571667722.38,404850
202412,PI,146475693.74,103732
202412,RJ,726478717.34,514485
202412,RN,168256136.62,119155
202412,RS,372783902.76,264004
202412,RO,81353454.97,57614
202412,RR,36195387.12,25633
202412,SC,150693722.02,106719
202412,SP,1423046063.19,1007791
202412,SE,120063393.71,85027
202412,TO,73232357.53,51863
202412,Others,255581.82,181
202412,Total,8799563236.93,6231770
